# Differential-oracle vectors: inputs + outputs of chrony 4.5's REAL regress.c
# (compiled from /tmp/chrony-src commit 120dfb8, gcc -O2). Section WREG ==
# RGR_WeightedRegression cases 'n x y w... | b0 b1 s2 sb0 sb1'; FBREG ==
# RGR_FindBestRegression 'n m min x y... w... | ok b0 b1 s2 sb0 sb1 best_start n_runs dof'.
# Used by regress.rs to differential-test the Rust port against the actual C.
WREG 40
3 -20.437162412795526 0.74602073841365701 0.94673264353588804 -10.975209936246303 0.74633410994901017 0.64219887483699434 -0.77753222583407644 0.7468049160478456 0.63457016103851283 | 0.74681764365464909 4.0467110044995439e-05 2.8136659879599265e-09 4.8639716492355212e-05 3.9672991202658823e-06
4 -30.722503780123397 -0.42126483324766018 0.57535379205430692 -20.144911719965439 -0.42204327920238482 0.83479047611846968 -10.648275363851218 -0.42230810472568475 0.87105862872921058 -0.57535191945198216 -0.42279712911562706 1.359333935108928 | -0.42288508117958296 -5.0473770270397822e-05 2.0515280331039635e-08 0.00014253239362088991 6.5864363835630699e-06
11 -100.90361462715865 0.17714545882088342 1.1146579047396621 -90.191298797316421 0.17667006666328947 1.094873000961712 -80.547553638009347 0.17759595093976002 1.4842457960880719 -70.417176038307332 0.17717061007750406 0.88495531688249951 -60.951636112841356 0.17751413428768151 1.4818714547548901 -50.032247576820978 0.17751917246804388 1.1514859463239291 -40.733907913884487 0.17762826411755803 0.66025639693629967 -30.032822101206211 0.17731959519069382 0.70945915536215609 -20.192015564857428 0.17749123957248403 1.1190013994118899 -10.373418416795344 0.1779140527457386 1.0117345033892193 -0.54250806552613728 0.17808656356056377 1.2155718928190931 | 0.17788499639481886 8.9415765352097332e-06 6.4340398835152946e-08 0.0001439780292469854 2.510580800463886e-06
14 -130.49882885749872 -0.27838927632669597 1.0299209964641542 -120.16569619934506 -0.27820378372144722 0.57394469219415034 -110.64789255226677 -0.27775538910680475 1.3326463608152206 -100.74798083124364 -0.27762080390385085 0.61558182569043107 -90.955630766149625 -0.27684043161809729 1.2279872484144023 -80.258826663259256 -0.27674909292340022 0.97410305867244273 -70.94285331629986 -0.27659108320894793 0.58269298197926545 -60.555300570944489 -0.27587687435605424 0.50758482395546178 -50.279016642781706 -0.27528784791007188 1.3246682354776507 -40.551787253701058 -0.27547984287485378 0.92570434642123367 -30.065609097853336 -0.27501261721129433 0.65809113195618529 -20.552587026023335 -0.27449093439658728 1.001424803088653 -10.756482384870049 -0.27432358509308108 0.9964298817269045 -0.39081134338454071 -0.27329097081560766 1.2533816605654227 | -0.27375530069609405 3.688755964493915e-05 4.3241419317064398e-08 0.00011287693667700532 1.4460890052102006e-06
7 -60.181136507999888 0.55608097755995378 1.4263186272433899 -50.2654866082542 0.55559499371427146 0.55997322972889729 -40.885548914199219 0.55529249493943045 1.0242188559951177 -30.516207266629468 0.55513136461791701 0.62099152074454755 -20.852960817276792 0.55423534269076036 1.049954127742625 -10.102909204965545 0.55391483448427625 0.92283433965616857 -0.89860447978364655 0.55336361441795334 1.0268709325950376 | 0.55345664270714834 -4.469892116263653e-05 3.7976326714794415e-08 0.00014381953999006013 3.9514063603509649e-06
18 -170.33923756216811 -0.47121928436721616 0.85270224483888502 -160.85041204041283 -0.47106524318094228 0.79759231444189593 -150.64944560512637 -0.47123028254184401 0.57544218127233737 -140.16918357130399 -0.47028537268562343 0.96311511889170298 -130.51831314101051 -0.46987728828551262 0.67474511903327172 -120.97186443200371 -0.46974571654837582 0.63000116539471085 -110.61100315268754 -0.46935919408783527 1.3553241525199833 -100.63795730476171 -0.46865329590619542 0.63730594586742784 -90.038999624480695 -0.46875435074496513 1.3892244639635853 -80.0112122469517 -0.46789795435656129 1.307816328103403 -70.767606283099397 -0.46761944962232549 1.2912437544051718 -60.017799243756734 -0.46724493788672178 1.2038815383011965 -50.761990114498509 -0.46724318810862137 1.3867265186714772 -40.107941423138577 -0.4667056454533145 1.102892928486773 -30.306190513246928 -0.46695579030447104 1.3177805945877972 -20.59893856152145 -0.46611888107854327 0.86661484366680552 -10.390148253368269 -0.46583267019751112 1.340770543008295 -0.0043205392733395298 -0.46561599084622368 0.66652227284904264 | -0.46543324574129236 3.5041318676740038e-05 6.7491093364445453e-08 0.00012097640104757669 1.1328019150818452e-06
13 -120.36556146911461 0.25926260732656498 0.78651180612199467 -110.72293498888098 0.25895032150563818 1.3275411676721829 -100.09431933335836 0.25943435576238749 0.60784448024492432 -90.211492852414707 0.25931382508872203 1.1006186892813867 -80.571082090400665 0.25832746149048263 0.88960331720666319 -70.88951622063459 0.25877288228748185 1.4442686339052817 -60.519606572113204 0.25805220344367785 0.90502705538533501 -50.14467172489006 0.25821312395665019 0.63964418952138358 -40.444594460895935 0.25783487567654922 0.733865587832776 -30.131437786479189 0.25823310059558979 0.70444198242579081 -20.145911908763324 0.25726769078608669 0.81514386506804259 -10.33160331965048 0.25708032522362689 0.63005899733685311 -0.71284117855039542 0.25705337744737394 0.98490630844892046 | 0.25708365644786962 -2.0181280411846706e-05 1.0346863715591704e-07 0.00016449016685379997 2.3863929753895383e-06
13 -120.39754400390585 -0.63161057796758724 0.62807625677097145 -110.2556282458731 -0.63147796099791376 0.96806393444574523 -100.71959223890829 -0.63154286989573705 0.91845776415255109 -90.809571641930503 -0.63149900250550084 1.0377234886218085 -80.09710049852697 -0.63123762843793696 1.4015091890537996 -70.431422589100094 -0.63088447913700674 0.56240479045821823 -60.452939910719756 -0.63126831309856213 0.97628241395328519 -50.800898699692581 -0.63061446674516952 0.99679687486468471 -40.351931772095867 -0.63085696956966097 1.2312238459801481 -30.820788337560515 -0.63050398172368416 1.4681794497323102 -20.034283926725379 -0.63079575796284493 1.2501286180807756 -10.3392298228401 -0.63008880441305348 1.158001359093709 -0.13297880268256312 -0.63013394923248811 0.92605979744010347 | -0.63019761723483747 1.2349579022028012e-05 3.9365042815781358e-08 0.00010916256481516062 1.4442762368009396e-06
18 -170.19052363157587 -0.88215454844004804 0.67430643095775589 -160.86939013926974 -0.88227533680430714 0.7446032664627491 -150.74525728746255 -0.88228433701149722 1.2950764232074765 -140.81334704301614 -0.88334119978696757 0.5660197033418215 -130.99751514426688 -0.88354490380583139 0.61994284016092382 -120.5328726715359 -0.88399534736252083 0.83526474079296653 -110.58137628330165 -0.88501584551893631 0.76129504716432683 -100.9272790872859 -0.88503035558876109 0.72051811135318189 -90.671299456601488 -0.88587418035954624 1.0416252480407602 -80.148823770003617 -0.88602626262913375 0.73900739072352195 -70.643537447910234 -0.88691457055864753 1.2287625881370352 -60.936565281730815 -0.88768312882802691 1.2980447216730315 -50.037711907676098 -0.88833575361265549 1.3100049216118284 -40.88650651614288 -0.88824944016395024 1.1646198238219649 -30.345931246091723 -0.88910266928970816 0.97048908586062133 -20.360777405212726 -0.890017201622325 1.0777477339234895 -10.54306017382298 -0.88967796441792513 0.70184198108728202 -0.66192875602676504 -0.89092686885644046 0.92464311049437853 | -0.89060763068010251 -5.2372224789992812e-05 9.5744756579580683e-08 0.00014602318756070317 1.3789939355546374e-06
19 -180.84454527121818 -0.47020748051422961 1.142379946925677 -170.06882373149759 -0.47148168413465458 0.69361030850750116 -160.97575214675945 -0.47201131359531162 0.64523599726781899 -150.80217739579035 -0.47240533877532431 1.4894197633382475 -140.42576803463112 -0.47297290647001083 1.4622779865471116 -130.65287726279325 -0.47326805904431007 1.304264891505126 -120.73594175664576 -0.47431375293033118 0.93506751335656324 -110.23581609102224 -0.47495296282266053 0.91066248574051722 -100.4514768760061 -0.47560146653442664 0.53764039638414507 -90.576263819014741 -0.47620043540515972 1.4894508116852141 -80.194116909966823 -0.47712620073143325 1.0076776667398422 -70.879790573571952 -0.47739074096334183 0.75222959916171306 -60.8649077811829 -0.47848353747040445 1.3843494662230484 -50.356762628089001 -0.4786923583111265 0.853387019718438 -40.938758534554168 -0.47999901934969041 1.0186494139948072 -30.398065521711775 -0.48024409494124437 0.80498042084257027 -20.345419877595695 -0.48072284297919082 0.65098518750844825 -10.334170881180015 -0.4819267470753511 0.61737192624989157 -0.62617797992667545 -0.48234248236284893 1.0554217100303265 | -0.48228114639951569 -6.5502130712462973e-05 6.1983603967247182e-08 0.00010582495787152791 1.0215230863764837e-06
12 -110.05593475574429 -0.53142666245723647 1.1336502460028681 -100.08744847962008 -0.53061372508002547 1.1583041395053089 -90.327295327217016 -0.52987217336821679 1.1169616922591308 -80.981220238409861 -0.52938626787327936 0.5096109743160967 -70.70207866527366 -0.52867700791550887 0.74766279817432668 -60.050299892271333 -0.52873186353727319 1.0559414748969025 -50.327274023370329 -0.52747833416059486 0.99830067194921257 -40.22912308560241 -0.52689971740544528 0.97486131659788844 -30.37923784522896 -0.52679075249513296 0.84465197354275767 -20.125143662579173 -0.52547707267671606 0.69848944809630786 -10.792402974011472 -0.52509434592263526 1.0725125086914091 -0.40502884836486996 -0.52420789398237799 1.0572865579629678 | -0.5244091490949051 6.2610936905949034e-05 7.0056597345138845e-08 0.00014924311219951557 2.3179769924560379e-06
13 -120.24591971440235 -0.91696370384155812 1.218550758021723 -110.26011536404643 -0.91731491870390169 0.58088991763599696 -100.95125715434187 -0.91731927719049267 1.0184607484319783 -90.49213530977714 -0.91692788836186212 1.4173875123034718 -80.129649310920442 -0.91643518510648181 1.4991075572126671 -70.602499680202826 -0.91652936177356492 1.2227737475902434 -60.229287498092845 -0.91656209987243553 1.4662972101212755 -50.53557010509676 -0.91656793876922227 1.3300654518442618 -40.598911840214711 -0.9166736353601006 0.67548842170020618 -30.269878913622371 -0.91639171879093861 1.1402495647846025 -20.141812023518682 -0.9163225756294231 0.65904108859002142 -10.364728131365727 -0.9156710286872749 0.73347798325060376 -0.83257222863774993 -0.91586352322606412 0.55320438924814264 | -0.91590110505542399 1.1718574785962211e-05 5.8098405002127894e-08 0.00011250297603245717 1.6581759187901307e-06
18 -170.35450486457532 0.49886299676976553 0.84142374608410009 -160.02055319927589 0.49726538743141402 1.3573877101715892 -150.67285544415219 0.4963661411638125 0.98642563683393436 -140.10619158331983 0.49594714355016634 1.3166023072367925 -130.15383940064274 0.49420377660816356 1.1616603809313071 -120.21648317342655 0.49382143246214472 1.217874950578274 -110.68125974535288 0.49300027307170707 1.3582674021888819 -100.41578358928798 0.49132356894104001 0.66115176300087097 -90.995031656175769 0.49117845094940638 0.90176911628114009 -80.193140371814494 0.49015953572903459 1.2951414504629559 -70.808274522072608 0.48924923309203078 0.67014085753787411 -60.610305605154274 0.48828636075354676 0.67615115206481335 -50.521420555674908 0.48699412396738562 0.62379851157698962 -40.259507411206798 0.48615434869334084 0.81761241260189077 -30.901002393112883 0.48515264302682842 0.65182840197247194 -20.845807233995668 0.48406643245502601 1.2050785846989436 -10.495292633087402 0.48283393236387395 0.52214535244275062 -0.013057522800915988 0.48174395861667263 1.1278823378725626 | 0.48207243288783735 -9.7053859744677693e-05 9.2043138359592972e-08 0.00013120250908227023 1.4103914244793132e-06
3 -20.863280123735851 0.98912894110627825 1.1911282650821307 -10.450437496925312 0.98853674689692395 1.3755332935191182 -0.26703293197929778 0.98726172770727927 1.0063848149854229 | 0.98733036760206672 -9.1369376295497812e-05 7.5383911179668622e-08 0.00024046778706460716 1.8241565778467899e-05
10 -90.074681401326558 0.16630015998018036 0.98555216966560544 -80.018093141142487 0.16688056996361222 0.87662435689060081 -70.630187158786981 0.167673573936791 1.3508097917956392 -60.286248065062566 0.16875341770548741 0.98406174483022435 -50.470947488121475 0.16933020209863453 0.65539091995020271 -40.186691066233642 0.16990464436903144 1.1400336458682614 -30.142627775194761 0.1708694333803536 0.61917107308094155 -20.121078825681749 0.17113299953168895 1.0270187684080636 -10.568140135252284 0.17189099506200886 1.1578906649120499 -0.10165739034000865 0.17244146918842554 0.75821916242982301 | 0.1726788001660598 6.9429759860101465e-05 4.7390450890421496e-08 0.00012694130912475153 2.4327834996928122e-06
4 -30.824632456594664 -0.65449611773791783 1.0554213467649869 -20.882119765878826 -0.65388716909467226 0.66290305669700511 -10.61860345776098 -0.65321467905807185 1.4417124763666549 -0.22933889639479277 -0.65262460324238858 1.3033931173083304 | -0.65259403164033558 6.1640752713241467e-05 5.4187453611100174e-10 2.2265305399811679e-05 1.0893388402665127e-06
4 -30.925425149403804 -0.1018672476123479 0.76263548235987844 -20.732325232711666 -0.10144432161168748 0.62525591884326404 -10.513923154430206 -0.10170836451282234 1.3352767167656778 -0.63028302354399168 -0.10115475059816566 1.0356823204486805 | -0.10121091243676712 1.8885618123186949e-05 5.1123007192761524e-08 0.00021418940750407811 1.0237158304273894e-05
17 -160.37479381754807 -0.4582573003900447 1.2700302509473538 -150.42231872505738 -0.45712843525351871 0.71213127288638811 -140.59801415092514 -0.45607121863216982 0.5304641335450051 -130.4062994442894 -0.45570373551146892 0.98517920534074577 -120.2592608791217 -0.45421716822299324 0.66383709924830847 -110.8025596801983 -0.45391621481721606 1.1568666445549916 -100.6784724994092 -0.45225270577827192 1.1979527670314352 -90.284414206574951 -0.45166485063455286 0.8383677693933197 -80.684226837427317 -0.45074316800987035 0.90001130443330735 -70.407268294157745 -0.44936021920508584 1.224661334288305 -60.657320568484401 -0.44853213507399387 1.2468542796951216 -50.69603836552016 -0.44821691014219073 0.77401479222368885 -40.971648561011023 -0.44682161257249442 0.58170321185980878 -30.936206217265035 -0.44625873135538152 1.3067121079911135 -20.47971695422056 -0.44563386328714855 1.421162374563842 -10.250758996068274 -0.44411806267087284 0.75006334896507332 -0.63928513351750338 -0.44388541632315531 0.65298733010771903 | -0.44340747797088004 9.1022163705148636e-05 8.5968026515946966e-08 0.00013466861352605814 1.4089276926580606e-06
18 -170.06652024627874 0.60523648194032376 0.94367160926869631 -160.41801425775432 0.60554459872584376 0.96018902968070463 -150.95779415442652 0.60515760424049481 0.93102719004796386 -140.53523799889243 0.60463117590509341 1.4193434709272135 -130.96626693575786 0.60345524661605754 1.3377910602906684 -120.05572472988162 0.60350102281177542 0.84187262560061205 -110.90078855673107 0.60330184691466637 0.9221208947625088 -100.5271806457438 0.60227582386129697 0.87306027075496417 -90.314188685754601 0.60160531207811163 0.52026626804524578 -80.624903959897722 0.60171574502773917 0.85256449902662679 -70.929660647149547 0.60100105207416576 0.90053474977662662 -60.123772067159962 0.60116139925494072 0.73955589046965386 -50.527850254816812 0.60011681010123952 1.3810426848919819 -40.708495324361145 0.6001258750475913 1.2821916888245271 -30.884986624588091 0.59926671222120709 0.84896206560926424 -20.277796339285945 0.59924403013731176 1.1539063142464756 -10.68338236020111 0.59806214900834398 1.3711760866310603 -0.40175476329173354 0.59769525584417438 1.2446235821127529 | 0.59792241546245717 -4.5679937436835285e-05 1.1755916668334461e-07 0.00016625248461229813 1.6522178209507702e-06
15 -140.45032445091238 0.98393221026319955 1.2522546347071692 -130.20591210587924 0.98469829929067831 0.68472485041746955 -120.28999753117574 0.98556386111046024 1.0335407357074211 -110.58334553800724 0.98678084040059388 1.3152252055307936 -100.44093213702749 0.98725414812616918 1.3967370054304937 -90.228674645626555 0.98892490844399805 0.88162307235850801 -80.221292675755578 0.98953706386847839 1.3768058782978128 -70.358264488464741 0.99038598180401449 0.83723355061837657 -60.322537600277073 0.99126049168529684 0.58467511989413434 -50.339377254521416 0.9924345804224195 1.438195635373634 -40.787925721279137 0.99326629325672222 1.1245196150563124 -30.340777645236312 0.99352117965691 1.077833686725346 -20.807203241081179 0.99485863001994546 1.4580535858117378 -10.106616639986271 0.99618753659410653 1.2171849280217919 -0.69245092874571279 0.99660180064507553 0.74160167969754553 | 0.9968189541146335 9.2036938448731428e-05 6.010831790190755e-08 0.00012079892933555891 1.460081022156227e-06
18 -170.07609394603267 -0.53708947347680991 0.86348619858013076 -160.73730516721329 -0.53725599195434437 1.0601402654516683 -150.86188349072376 -0.53750683644527386 0.55650130368462947 -140.57345997304319 -0.53735829994579976 1.2095067767638013 -130.55075123082355 -0.53778099457503081 1.334324265473277 -120.6631838421377 -0.53691566031417848 1.3018554839150436 -110.39312112962102 -0.53686275478068568 0.68262292560819615 -100.1251054907938 -0.53729469565097121 1.303396389315997 -90.780403707936088 -0.53711096216827603 0.75795404686368606 -80.340450357234019 -0.53671069867530019 1.0515852302026967 -70.429928531779467 -0.5372513358419817 0.80371586278808349 -60.938228141814456 -0.53749477801641998 0.55156544610672209 -50.710523869386684 -0.53719668882029881 0.82849277744790495 -40.832173295611923 -0.53701508752448046 1.1619704357659808 -30.504174261880561 -0.5373347476165482 1.235507614842446 -20.256553625163534 -0.53715336300871619 1.4865572347695291 -10.962976678102969 -0.53708788346601033 1.2000032445583075 -0.27952611541839345 -0.53670236204790633 1.463599141803285 | -0.53706929394689951 1.3888790269274628e-06 7.3316955913159423e-08 0.00013250516367140688 1.2864200211717859e-06
19 -180.26003353915547 0.51239557832246396 1.0760186066271604 -170.53598442798832 0.5123635684872333 1.0075896043908659 -160.79551052716053 0.5114743309774975 1.4849566438225938 -150.46418430783916 0.51162465296651305 1.3538515015914854 -140.94150439606531 0.51156824535673107 0.66831795514460635 -130.5571437366911 0.51097779385285735 1.2571419074140358 -120.18749552327165 0.51112398287019989 0.89756344288424461 -110.80893657742152 0.51052773183359645 1.3834545507063289 -100.4797133125528 0.51025721535243707 0.86278568482058626 -90.182202336683162 0.50995552698856716 0.88010647474046388 -80.898464184851775 0.51028304761231735 0.81683851540296282 -70.620189513847322 0.51025366109274073 1.2057937599669235 -60.568301330319557 0.51012497716391347 0.96241047548305936 -50.740081119219269 0.50942652766796437 1.3705300752080398 -40.651445639306509 0.50908348109046175 1.4261815009463272 -30.970441816343538 0.509386454435105 0.914351951400737 -20.423845166000216 0.5086500239828462 0.97478892306931797 -10.87115399011997 0.50837637160195215 0.77934439589172433 -0.16148505778864342 0.50822919714942982 1.0129550562609584 | 0.5083242972480686 -2.2181565688283593e-05 7.0563506977082843e-08 0.00011641835233263744 1.1164614376195591e-06
5 -40.212470246329751 0.10078833727188757 0.9558358060436174 -30.953642468369949 0.10204623377632152 0.89803151182357521 -20.6425015316848 0.10275374042175808 0.8790811156340046 -10.236869042775739 0.10349876487114203 1.2538978610747817 -0.78477006230441937 0.1041454168395943 1.3261539432294476 | 0.10435791162412734 8.2544555251663076e-05 5.4793353847890035e-08 0.00020273012320976783 7.7389776022318488e-06
13 -120.70123008559376 -0.67732849269537043 1.2868597705047653 -110.48028347428004 -0.67756337029293867 1.4535228843541099 -100.5562071110561 -0.6773676802645755 1.1298717866309258 -90.218815707333022 -0.67749825783026474 1.278445630448219 -80.397390019546961 -0.67746444408889095 0.95821729430970648 -70.302653578982188 -0.67778378676369166 1.1145818187646044 -60.851146039926611 -0.67780840169353562 1.112930548337524 -50.0398275718821 -0.67780589340514574 0.5477049035596222 -40.826179580690265 -0.67773104081975188 1.1253737936324824 -30.360353108663706 -0.67734956153257864 1.42614674685107 -20.438896865045091 -0.67724580702043902 1.499286773944275 -10.87907572465614 -0.67711211538028382 0.9364208845600378 -0.85249829370242713 -0.67751112681996128 0.56390344694222272 | -0.67749002030310956 7.2085536021434869e-07 5.6612667490320912e-08 0.00011733994068597583 1.770416113594127e-06
8 -70.338603092284586 0.34541014262612046 1.0367492235562623 -60.644869407721295 0.34588162878461215 0.79338857049139544 -50.302044323893668 0.34590779151270962 0.84937388137103209 -40.558284139939389 0.34567099509961585 0.9055306854124795 -30.443130896471828 0.34623492759187235 1.1571275508033603 -20.71389343893372 0.34612279101175664 1.3796865980044948 -10.353290820295518 0.34651035141885178 0.76475888302100392 -0.12573497620613039 0.34680913808654229 0.62118806846297281 | 0.34669801936212719 1.7205401375267467e-05 3.784147194953547e-08 0.00011805991162540603 2.8510072926569931e-06
17 -160.72259808133688 -0.64267042311063638 1.4750445429240147 -150.90950918145569 -0.64324093036205032 1.3555319150228471 -140.08768863587864 -0.64432766757430882 0.61369784815664119 -130.30981382300527 -0.64429004376718901 1.3836951590677251 -120.66671741099827 -0.64533531085534079 0.92994524851582083 -110.31494598806925 -0.64563349740037201 0.85631747450940854 -100.15656427146811 -0.64684460054908655 1.0411349462954269 -90.472450619597623 -0.64726263009363527 0.97743983053886152 -80.258161203767045 -0.64829859483988728 0.6630199388643192 -70.778700750756457 -0.64871894610462144 0.50419453229082545 -60.687320532229393 -0.64945446014818309 1.1146725631829546 -50.263615145496807 -0.64994022633825221 0.59096478038498634 -40.165657905833136 -0.65088858234287972 0.53476054057454114 -30.604369834087478 -0.65166490977753389 1.090870236981085 -20.700821634692172 -0.65182692708514844 1.463606968930788 -10.288420468093255 -0.65313267319734447 1.1342200616600486 -0.023135691410153481 -0.65355794522563915 1.2293229185641925 | -0.65356826741144136 -6.8229679515187188e-05 4.7576678624990764e-08 0.00010747844392219076 1.1862980961755057e-06
